CustomerID,Recency,Quantity,UnitPrice,TotalPrice,ItemsInCart,CouponUsed,OrderCompleted,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Cancelled,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,Cluster
C72649,909,5,570.62,2853.1,7,1,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,8
C75739,312,2,151.35,302.7,3,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,3
C81728,490,5,550.68,2753.4,8,1,0,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,2
C33540,625,1,273.19,273.19,5,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,1
C81840,54,4,626.01,2504.04,8,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,7
C37249,617,2,245.86,491.72,4,1,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,3
C83492,14,1,664.42,664.42,6,1,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0
C41460,781,5,149.55,747.75,9,1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,8
C26817,90,2,134.28,268.56,2,0,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,3
C31946,588,4,509.38,2037.52,6,1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,6
C43443,550,5,625.97,3129.85,9,1,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,2
C93861,500,3,49.14,147.42,7,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,8
C38785,259,2,180.5,361.0,6,1,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,8
C88348,671,3,201.49,604.47,4,1,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0
C98474,827,2,393.33,786.66,3,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,2
C39416,715,1,473.96,473.96,3,0,1,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5
C28976,889,2,533.81,1067.62,3,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,4
C60672,486,1,423.4,423.4,3,0,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,2
C84329,97,1,431.44,431.44,3,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,6
C14552,890,5,224.0,1120.0,9,1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,8
C54829,785,5,62.51,312.55,9,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
C99023,226,4,342.95,1371.8,6,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,7
C34416,884,2,49.62,99.24,2,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,8
C42372,83,4,273.25,1093.0,5,1,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,3
C17470,244,2,230.95,461.9,3,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,5
C42577,342,1,399.98,399.98,3,1,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,5
C21944,482,5,59.55,297.75,6,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,5
C97593,495,1,472.74,472.74,6,1,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,4
C59823,588,4,160.07,640.28,5,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,3
C33260,284,3,423.53,1270.59,6,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,7
C44267,101,2,426.7,853.4,5,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,8
C26445,732,3,500.08,1500.24,6,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,1
C12388,792,5,536.72,2683.6,10,0,1,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,7
C52184,757,1,162.77,162.77,4,1,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,1
C67195,906,4,576.52,2306.08,5,1,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,1
C50304,206,2,465.15,930.3,2,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,8
C59337,54,2,534.43,1068.86,5,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0
C10054,260,2,76.74,153.48,7,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
C15924,194,1,245.89,245.89,3,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,5
C96664,124,3,256.46,769.3799999999999,4,1,1,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,5
C84766,681,2,344.02,688.04,4,1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,5
C20212,574,3,611.45,1834.35,4,1,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,8
C28712,421,2,151.66,303.32,6,0,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,4
C60572,565,3,499.21,1497.63,8,0,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,1
C73225,71,2,550.18,1100.36,3,1,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,3
C17388,507,1,317.25,317.25,1,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,1
C43212,370,4,550.14,2200.56,4,1,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,8
C38134,713,2,209.94,419.88,3,1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,6
C12408,675,2,80.77,161.54,4,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,8
C11985,633,1,30.44,30.44,1,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,4
C96494,701,1,179.22,179.22,6,1,0,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,2
C36778,183,1,388.33,388.33,2,1,0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2
C30513,296,1,586.44,586.44,5,1,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,2
C67551,409,4,488.78,1955.12,5,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,3
C48120,96,1,280.25,280.25,5,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,1
C95984,7,3,344.4,1033.2,3,0,0,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,4
C54298,772,3,479.21,1437.63,5,1,0,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2
C88036,891,5,314.27,1571.35,6,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,4
C60190,898,4,474.69,1898.76,6,1,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,3
C97603,293,4,593.27,2373.08,5,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,1
C39256,314,1,417.1,417.1,3,1,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,6
C61618,464,4,122.2,488.8,7,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,7
C36497,679,2,43.15,86.3,3,1,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,6
C96695,149,1,564.86,564.86,6,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1
C49720,6,3,130.61,391.83,4,1,0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,4
C97735,549,5,81.7,408.5,6,0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,7
C18104,228,5,127.18,635.9000000000001,9,1,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1
C25587,204,4,12.1,48.4,8,0,0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,4
C41598,568,3,490.92,1472.76,5,1,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1
C43338,782,3,478.65,1435.95,4,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,8
C25123,767,1,629.21,629.21,2,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,6
C37454,21,3,434.45,1303.35,4,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,8
C19451,191,4,589.44,2357.76,5,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,2
C17269,790,4,433.45,1733.8,4,0,0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,8
C25382,738,5,90.87,454.35,5,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3
C80651,644,3,398.17,1194.51,5,1,1,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,7
C58638,457,4,382.88,1531.52,6,1,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
C50121,403,1,583.18,583.18,5,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,3
C32029,329,4,175.36,701.44,4,1,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,5
C76700,113,2,311.91,623.82,2,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,2
C29041,735,3,589.56,1768.68,6,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,3
C29314,754,2,394.3,788.6,6,1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,8
C65799,543,4,565.2,2260.8,9,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,2
C15681,679,4,540.41,2161.64,6,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0
C64160,673,2,165.49,330.98,4,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,8
C14553,295,3,146.73,440.1899999999999,8,1,1,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,7
C88205,377,5,643.03,3215.15,5,1,0,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,4
C91245,264,3,225.11,675.33,4,1,0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,2
C75439,26,3,114.81,344.43,7,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,6
C17181,126,5,455.33,2276.65,8,1,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,4
C36540,652,4,182.08,728.32,4,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,7
C98216,839,5,492.75,2463.75,6,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
C29568,386,4,48.61,194.44,7,1,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,4
C97262,899,4,431.01,1724.04,7,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,6
C79821,871,1,531.18,531.18,6,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1
C76761,830,4,117.51,470.04,7,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,4
C93007,395,2,232.83,465.66,7,0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,5
C15624,161,5,619.52,3097.6,9,0,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,2
C70921,899,2,228.54,457.08,3,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,4
C30477,80,1,201.58,201.58,2,1,0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,4
C74866,865,3,664.79,1994.37,6,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,7
C15283,584,1,381.02,381.02,6,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,4
C18037,846,2,70.34,140.68,3,1,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0
C62656,157,4,218.43,873.72,9,1,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,3
C65744,336,1,582.04,582.04,1,1,1,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,5
C72290,250,3,185.4,556.2,7,0,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,4
